sentence1,sentence2,score
"['plane', 'take']","['air', 'plane', 'take']",5.0
"['man', 'play', 'larg', 'flute']","['man', 'play', 'flute']",3.8
"['man', 'spread', 'shrede', 'chees', 'pizza']","['man', 'spread', 'shred', 'chees', 'uncook', 'pizza']",3.8
"['three', 'men', 'play', 'chess']","['two', 'men', 'play', 'chess']",2.6
"['man', 'play', 'cello']","['man', 'seat', 'play', 'cello']",4.25
"['men', 'fight']","['two', 'men', 'fight']",4.25
"['man', 'smoke']","['man', 'skate']",0.5
"['man', 'play', 'piano']","['man', 'play', 'guitar']",1.6
"['man', 'play', 'guitar', 'sing']","['woman', 'play', 'acoust', 'guitar', 'sing']",2.2
"['person', 'throw', 'cat', 'ceil']","['person', 'throw', 'cat', 'ceil']",5.0
"['man', 'hit', 'man', 'stick']","['man', 'spank', 'man', 'stick']",4.2
"['woman', 'pick', 'hold', 'babi', 'kangaroo']","['woman', 'pick', 'hold', 'babi', 'kangaroo', 'arm']",4.6
"['man', 'play', 'flute']","['man', 'play', 'bamboo', 'flute']",3.867
"['person', 'fold', 'piec', 'paper']","['someon', 'fold', 'piec', 'paper']",4.667
"['man', 'run', 'road']","['panda', 'dog', 'run', 'road']",1.667
"['dog', 'tri', 'get', 'bacon', 'back']","['dog', 'tri', 'eat', 'bacon', 'back']",3.75
"['polar', 'bear', 'slide', 'snow']","['polar', 'bear', 'slide', 'across', 'snow']",5.0
"['woman', 'write']","['woman', 'swim']",0.5
"['cat', 'rub', 'babi', 'face']","['cat', 'rub', 'babi']",3.8
"['man', 'ride', 'hors']","['man', 'ride', 'hors']",5.0
"['man', 'pour', 'oil', 'pot']","['man', 'pour', 'wine', 'pot']",3.2
"['man', 'play', 'guitar']","['girl', 'play', 'guitar']",2.8
"['panda', 'slide', 'slide']","['panda', 'slide', 'slide']",4.6
"['woman', 'eat', 'someth']","['woman', 'eat', 'meat']",3.0
"['woman', 'peel', 'potato']","['woman', 'peel', 'potato']",5.0
"['boy', 'fell', 'bike']","['boy', 'fall', 'bike']",4.8
"['woman', 'play', 'flute']","['woman', 'play', 'flute']",5.0
"['rabbit', 'run', 'eagl']","['hare', 'run', 'eagl']",4.2
"['woman', 'fri', 'bread', 'pork', 'chop']","['woman', 'cook', 'bread', 'pork', 'chop']",4.2
"['girl', 'fli', 'kite']","['girl', 'run', 'fli', 'kite']",4.0
"['man', 'ride', 'mechan', 'bull']","['man', 'rode', 'mechan', 'bull']",4.0
"['man', 'play', 'guitar']","['man', 'play', 'guitar']",4.909
"['woman', 'danc', 'sing', 'woman']","['woman', 'danc', 'sing', 'rain']",3.0
