sentence1,sentence2,similarity_score
"['plane', 'take']","['avión', 'despegando']",5.0
"['man', 'play', 'larg', 'flute']","['hombr', 'tocando', 'gran', 'flauta']",3.8
"['man', 'spread', 'shrede', 'chees', 'pizza']","['hombr', 'untando', 'queso', 'rallado', 'pizza']",3.8
"['three', 'men', 'play', 'chess']","['tre', 'hombr', 'jugando', 'ajedrez']",2.6
"['man', 'play', 'cello']","['hombr', 'tocando', 'violonchelo']",4.25
"['men', 'fight']","['hombr', 'luchando']",4.25
"['man', 'smoke']","['hombr', 'fumando']",0.5
"['man', 'play', 'piano']","['hombr', 'tocando', 'piano']",1.6
"['man', 'play', 'guitar', 'sing']","['hombr', 'tocando', 'guitarra', 'cantando']",2.2
"['person', 'throw', 'cat', 'ceil']","['persona', 'lanzando', 'gato', 'techo']",5.0
"['man', 'hit', 'man', 'stick']","['hombr', 'golpeó', 'hombr', 'palo']",4.2
"['woman', 'pick', 'hold', 'babi', 'kangaroo']","['mujer', 'recog', 'sostien', 'bebé', 'canguro']",4.6
"['man', 'play', 'flute']","['hombr', 'tocando', 'flauta']",3.867
"['person', 'fold', 'piec', 'paper']","['persona', 'doblando', 'pedazo', 'papel']",4.667
"['man', 'run', 'road']","['hombr', 'corriendo', 'carretera']",1.667
"['dog', 'tri', 'get', 'bacon', 'back']","['perro', 'tratando', 'quitars', 'tocino', 'encima']",3.75
"['polar', 'bear', 'slide', 'snow']","['oso', 'polar', 'deslizando', 'niev']",5.0
"['woman', 'write']","['mujer', 'escribiendo']",0.5
"['cat', 'rub', 'babi', 'face']","['gato', 'frotando', 'cara', 'bebé']",3.8
"['man', 'ride', 'hors']","['hombr', 'montando', 'caballo']",5.0
"['man', 'pour', 'oil', 'pot']","['hombr', 'viert', 'aceit', 'olla']",3.2
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",2.8
"['panda', 'slide', 'slide']","['panda', 'deslizando', 'tobogán']",4.6
"['woman', 'eat', 'someth']","['mujer', 'comiendo']",3.0
